         8418060 function calls (8265897 primitive calls) in 298.835 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
6225/6203    0.003    0.000    0.028    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\datamodel\manager.py:22(lookup)
       20    0.000    0.000    0.028    0.001 C:\Users\migue\anaconda3\lib\site-packages\numba\core\ir_utils.py:2091(check_and_legalize_ir)
       20    0.000    0.000    0.028    0.001 C:\Users\migue\anaconda3\lib\site-packages\numba\core\untyped_passes.py:192(run_pass)
     5602    0.002    0.000    0.028    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\datamodel\manager.py:33(__getitem__)
       20    0.000    0.000    0.027    0.001 C:\Users\migue\anaconda3\lib\site-packages\numba\core\typeinfer.py:1021(build_constraint)
      413    0.000    0.000    0.027    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\typeinfer.py:1366(constrain_statement)
     5439    0.010    0.000    0.027    0.000 C:\Users\migue\anaconda3\lib\site-packages\tqdm\std.py:257(format_interval)
      698    0.002    0.000    0.027    0.000 C:\Users\migue\anaconda3\lib\site-packages\llvmlite\ir\builder.py:284(if_then)
      366    0.001    0.000    0.027    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\typeinfer.py:1431(typeof_assign)
     2207    0.005    0.000    0.027    0.000 C:\Users\migue\anaconda3\lib\site-packages\llvmlite\ir\builder.py:748(store)
     2720    0.024    0.000    0.026    0.000 C:\Users\migue\anaconda3\lib\site-packages\tqdm\std.py:1471(format_dict)
26825/26674    0.008    0.000    0.026    0.000 {method 'join' of 'str' objects}
     1959    0.003    0.000    0.025    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\datamodel\models.py:615(get)
     1436    0.006    0.000    0.025    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\runtime\nrtopt.py:93(_prune_redundant_refct_ops)
     1598    0.002    0.000    0.025    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\datamodel\models.py:695(getter)
       80    0.000    0.000    0.025    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\postproc.py:155(_insert_var_dels)
     6589    0.008    0.000    0.025    0.000 C:\Users\migue\anaconda3\lib\weakref.py:382(__getitem__)
       80    0.007    0.000    0.024    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\postproc.py:175(_patch_var_dels)
3660/1220    0.006    0.000    0.024    0.000 C:\Users\migue\anaconda3\lib\site-packages\colorama\ansitowin32.py:43(isatty)
       74    0.000    0.000    0.024    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\np\arrayobj.py:70(_make_refs)
     5440    0.016    0.000    0.024    0.000 C:\Users\migue\anaconda3\lib\site-packages\tqdm\utils.py:294(_is_ascii)
     1220    0.023    0.000    0.023    0.000 C:\Users\migue\anaconda3\lib\site-packages\colorama\ansitowin32.py:116(get_win32_calls)
      300    0.007    0.000    0.023    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\np\numpy_support.py:349(ufunc_find_matching_loop)
       19    0.000    0.000    0.023    0.001 C:\Users\migue\anaconda3\lib\site-packages\numba\core\ir.py:580(infer_constant)
        7    0.000    0.000    0.023    0.003 C:\Users\migue\anaconda3\lib\site-packages\numba\core\lowering.py:632(lower_getitem)
     2723    0.011    0.000    0.022    0.000 C:\Users\migue\anaconda3\lib\site-packages\tqdm\std.py:102(acquire)
       23    0.001    0.000    0.021    0.001 C:\Users\migue\anaconda3\lib\site-packages\numba\core\ir.py:111(strformat)
      126    0.000    0.000    0.021    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\base.py:1096(get_abi_sizeof)
     1997    0.004    0.000    0.021    0.000 C:\Users\migue\anaconda3\lib\site-packages\llvmlite\ir\builder.py:735(load)
      378    0.002    0.000    0.021    0.000 C:\Users\migue\anaconda3\lib\site-packages\llvmlite\ir\values.py:593(__init__)
       11    0.000    0.000    0.020    0.002 C:\Users\migue\anaconda3\lib\site-packages\numba\np\arrayobj.py:3348(_empty_nd_impl)
      108    0.001    0.000    0.020    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\base.py:266(refresh)
      126    0.000    0.000    0.020    0.000 C:\Users\migue\anaconda3\lib\site-packages\llvmlite\ir\types.py:48(get_abi_size)
      282    0.000    0.000    0.020    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\runtime\context.py:214(incref)
